&&&&&&&&&&&&&&&&&&&&&&
Reminders&2&1&1&1&1&1&2&2&2&2&1&1&2&3&3&3&2&1&2&1&&1.7
Goals&1&2&2&2&2&2&1&1&1&1&2&2&1&1&2&2&1&2&1&2&&1.55
History&3&4&5&3&4&5&3&4&5&3&4&3&3&4&5&1&4&5&3&4&&3.75
Time Tracker&4&5&3&4&5&4&4&5&4&4&5&5&4&5&1&4&5&3&4&5&&4.15
Social Tracker&5&3&4&5&3&3&5&3&3&5&3&4&5&2&4&5&3&4&5&3&&3.85
&15&15&15&15&15&15&15&15&15&15&15&15&15&15&15&15&15&15&15&15&&15
